Designator,Mid X,Mid Y,Rotation,Layer
C10,35.18,41.3,0.0,top
C11,35.18,40.3,0.0,top
C12,63.9,18.9,0.0,top
C13,37.9,36.4,0.0,top
C14,37.9,35.4,0.0,top
C15,29.685087,26.900603,180.0,top
C16,29.685087,27.900603,180.0,top
C17,37.9,31.1,0.0,top
C18,25.7,35.3,180.0,top
C19,17.7,62.02,90.0,top
C20,18.08,40.39,180.0,top
C21,47.870882,24.157862,270.0,top
C22,18.9,19.5,0.0,top
C23,40.9,35.9,180.0,top
C24,18.45,24.0,180.0,top
C25,41.58,31.3,180.0,top
C26,25.7,28.6,0.0,top
C27,25.7,34.1,180.0,top
C28,35.7,37.9,135.0,top
C29,38.557124,39.278302,315.0,top
C3,60.935,30.7,0.0,top
C30,54.602293,24.045979,270.0,top
C4,64.435,27.7,270.0,top
C5,71.025,43.835,270.0,top
C6,61.7,48.1,0.0,top
C7,62.525,38.0,0.0,top
C8,35.18,42.3,0.0,top
C9,35.18,43.3,0.0,top
D1,64.3225,32.7,180.0,top
D10,29.111637,21.011779,270.0,top
D11,69.4,15.25,180.0,top
D12,64.25,15.25,180.0,top
D13,57.25,15.25,180.0,top
D14,51.75,13.25,270.0,top
D2,52.025,29.7,180.0,top
D3,67.9,48.785,180.0,top
D5,69.85,19.7,270.0,top
D6,16.5,26.5,180.0,top
D7,16.6,42.89,180.0,top
D8,25.5,58.0,90.0,top
D9,32.5,21.0,270.0,top
FID1,38.0,53.5,0.0,top
FID2,68.25,33.5,0.0,top
FID3,4.5,29.0,0.0,top
J1,65.0,59.0,180.0,top
J2,71.7,36.5,0.0,top
J3,4.955,22.0,270.0,top
J4,5.15,38.86,270.0,top
J5,34.0,5.5,0.0,top
J6,40.324891,41.046069,45.0,top
J7,22.15,48.5,270.0,top
J8,61.5,5.4675,0.0,top
JP1,51.0,34.005,270.0,top
JP2,64.0,21.5,270.0,top
L1,53.3,44.45,270.0,top
L2,33.7,40.8,270.0,top
L3,37.985,34.4,0.0,top
L4,37.157053,38.557053,225.0,top
Q3,33.4,58.525,0.0,top
R1,64.3225,30.7,180.0,top
R10,23.7,25.1,180.0,top
R12,11.3,44.9,90.0,top
R13,11.75,35.5,90.0,top
R14,48.475,29.7,0.0,top
R18,16.474444,17.615933,270.0,top
R19,12.1,26.7,90.0,top
R2,64.85,40.385,0.0,top
R20,11.5,18.25,90.0,top
R21,23.5,58.25,90.0,top
R22,34.25,21.0,270.0,top
R23,30.75,21.075,270.0,top
R24,54.0,12.5,90.0,top
R25,71.0,12.5,270.0,top
R26,59.0,12.5,90.0,top
R27,64.0,12.5,90.0,top
R28,69.0,12.5,90.0,top
R29,66.0,12.5,270.0,top
R3,61.85,40.385,0.0,top
R30,61.0,12.5,270.0,top
R31,56.0,12.5,270.0,top
R4,67.1,18.9,0.0,top
R5,33.35,60.875,0.0,top
R6,30.95,58.675,90.0,top
R7,33.420186,56.210631,180.0,top
R8,35.95,58.675,270.0,top
R9,17.7,58.52,270.0,top
SW1,49.735,59.0,0.0,top
SW2,8.485,59.0,180.0,top
SW3,9.5125,6.0425,90.0,top
U1,32.7,32.7,0.0,top
U3,61.185,27.75,0.0,top
U4,66.125,44.1,0.0,top
U5,51.5,24.0,180.0,top
U6,14.55,22.0,0.0,top
U7,13.2,38.89,180.0,top
U8,37.1,14.7,180.0,top
U9,23.63,20.87,90.0,top
Y1,40.95,33.7,270.0,top
Y2,25.7,31.35,270.0,top
